modelo,entrega,macro_f1,accuracy,mae,qwk,f1_1,f1_2,f1_3,f1_4,f1_5,n_entrenables,segundos
C · BETO fine-tuning completo,MP3,0.5953092656514506,0.68475,0.33775,0.7839691831139006,0.6761904761904762,0.4672131147540984,0.5311077389984825,0.49838783970520495,0.8036471586089907,109854725.0,1752.2753574848175
MP1 · BiLSTM + atención,MP1,0.5274,0.6758,0.362,0.7546,,,,,,9441862.0,88.4
MP1 · TF-IDF + LogReg,MP1,0.5235,0.6785,0.376,0.7261,0.596,0.301,0.433,0.475,0.813,60000.0,27.0
B · BETO congelado + MLP (promedio),MP3,0.5190921573356617,0.68225,0.358,0.7550683785076999,0.5585585585585585,0.3503184713375796,0.3807763401109057,0.48484848484848486,0.8209589318227797,526341.0,871.8063552379608
MP1 · BiLSTM + spaCy (afinados),MP1,0.4863,0.6358,0.431,0.6942,0.524,0.311,0.381,0.433,0.784,9441605.0,38.9
A · BETO congelado + lineal (promedio),MP3,0.4719122432253956,0.64675,0.4275,0.6982995788945399,0.48297213622291024,0.23783783783783785,0.398884239888424,0.4442221110555278,0.7956448911222781,3845.0,870.7738585472107
A · BETO congelado + lineal ([CLS]),MP3,0.45777274876296464,0.61775,0.48075,0.6459871387615067,0.4642857142857143,0.30324909747292417,0.3452855245683931,0.3979381443298969,0.7781052631578947,3845.0,873.1311149597168
A' · BETO congelado + LogReg (promedio),MP3,0.4397718603369879,0.6135,0.48425,0.643187806035417,0.4072727272727273,0.2465753424657534,0.3472409152086137,0.4251112209589718,0.7726590957788729,3845.0,897.2504200935364
MP2 · Transformer desde cero,MP2,0.416,0.5858,0.605,0.5068,0.349,0.248,0.344,0.389,0.75,4105605.0,196.6
MP2 · MLP (embeddings promediados),MP2,0.3545,0.5268,0.886,0.3501,0.252,0.121,0.314,0.376,0.71,3857157.0,21.1
MP1 · LSTM desde cero,MP1,0.2951,0.5755,0.651,0.3552,0.314,0.173,0.178,0.053,0.758,3972741.0,50.1
Baseline · azar estratificado,—,0.19305308075271602,0.47975,0.83425,0.0044821592278065925,0.018691588785046728,0.0182648401826484,0.06514657980456026,0.20794392523364486,0.6552184697576798,,
Baseline · siempre 5★,—,0.15852701479022033,0.6565,0.5495,0.0,0.0,0.0,0.0,0.0,0.7926350739511017,,
